Genotype	RNA	Sample_Category
NA12889	NA12889	all
NA12890	NA12890	all
NA18486	NA18486	all
NA18488	NA18488	all
NA18489	NA18489	all
NA18498	NA18498	all
NA18499	NA18499	all
NA18502	NA18502	all
NA18505	NA18505	all
NA18508	NA18508	all
NA18510	NA18510	all
NA18511	NA18511	all
NA18517	NA18517	all
NA18519	NA18519	all
NA18520	NA18520	all
NA18858	NA18858	all
NA18861	NA18861	all
NA18867	NA18867	all
NA18868	NA18868	all
NA18870	NA18870	all
NA18873	NA18873	all
NA18907	NA18907	all
NA18908	NA18908	all
NA18909	NA18909	all
NA18910	NA18910	all
NA18912	NA18912	all
NA18916	NA18916	all
NA18917	NA18917	all
NA18923	NA18923	all
NA18933	NA18933	all
NA18934	NA18934	all
NA19092	NA19092	all
NA19093	NA19093	all
NA19095	NA19095	all
NA19096	NA19096	all
NA19098	NA19098	all
NA19099	NA19099	all
NA19102	NA19102	all
NA19107	NA19107	all
NA19108	NA19108	all
NA19113	NA19113	all
NA19114	NA19114	all
NA19116	NA19116	all
NA19117	NA19117	all
NA19118	NA19118	all
NA19119	NA19119	all
NA19121	NA19121	all
NA19129	NA19129	all
NA19130	NA19130	all
NA19131	NA19131	all
NA19137	NA19137	all
NA19138	NA19138	all
NA19141	NA19141	all
NA19143	NA19143	all
NA19144	NA19144	all
NA19146	NA19146	all
NA19147	NA19147	all
NA19149	NA19149	all
NA19152	NA19152	all
NA19153	NA19153	all
NA19159	NA19159	all
NA19160	NA19160	all
NA19171	NA19171	all
NA19172	NA19172	all
NA19175	NA19175	all
NA19184	NA19184	all
NA19185	NA19185	all
NA19189	NA19189	all
NA19190	NA19190	all
NA19197	NA19197	all
NA19198	NA19198	all
NA19200	NA19200	all
NA19201	NA19201	all
NA19204	NA19204	all
NA19206	NA19206	all
NA19207	NA19207	all
NA19209	NA19209	all
NA19210	NA19210	all
NA19213	NA19213	all
NA19214	NA19214	all
NA19222	NA19222	all
NA19223	NA19223	all
NA19225	NA19225	all
NA19235	NA19235	all
NA19236	NA19236	all
NA19247	NA19247	all
NA19248	NA19248	all
NA19256	NA19256	all
NA19257	NA19257	all
NA20502	NA20502	all
NA20503	NA20503	all
NA20504	NA20504	all
NA20505	NA20505	all
NA20506	NA20506	all
NA20507	NA20507	all
NA20508	NA20508	all
NA20509	NA20509	all
NA20510	NA20510	all
NA20512	NA20512	all
NA20513	NA20513	all
NA20514	NA20514	all
NA20515	NA20515	all
NA20516	NA20516	all
NA20517	NA20517	all
NA20518	NA20518	all
NA20519	NA20519	all
NA20520	NA20520	all
NA20521	NA20521	all
NA20524	NA20524	all
NA20525	NA20525	all
NA20527	NA20527	all
NA20528	NA20528	all
NA20529	NA20529	all
NA20530	NA20530	all
NA20531	NA20531	all
NA20532	NA20532	all
NA20534	NA20534	all
NA20535	NA20535	all
NA20536	NA20536	all
NA20538	NA20538	all
NA20539	NA20539	all
NA20540	NA20540	all
NA20541	NA20541	all
NA20542	NA20542	all
